parent_channel,rank,burst_start,burst_end,message_count,unique_participants,top1_share_pct,reply_ratio_pct,avg_reactions,channel_daily_rate,spike_ratio
events,5,2020-12-26T21:24:55.520000+00:00,2020-12-27T20:41:12.163000+00:00,75,13,34.7,1.3,0.15,4.952,15.14
fashionscape,1,2021-04-27T04:46:10.028000+00:00,2021-04-28T03:51:06.287000+00:00,244,12,45.1,6.6,0.11,1.19,205.0
fashionscape,2,2021-04-01T18:05:02.364000+00:00,2021-04-02T18:01:14.501000+00:00,111,8,36.9,2.7,0.09,1.19,93.26
fashionscape,3,2021-01-27T05:34:53.458000+00:00,2021-01-27T22:46:41.111000+00:00,105,7,54.3,2.9,0.04,1.19,88.22
fashionscape,4,2021-01-14T22:48:00.899000+00:00,2021-01-14T23:00:51.933000+00:00,54,3,46.3,0.0,0.0,1.19,45.37
fashionscape,5,2022-12-22T03:33:35.414000+00:00,2022-12-23T01:23:57.835000+00:00,42,7,61.9,0.0,0.05,1.19,35.29
general,1,2024-05-27T20:41:59.324000+00:00,2024-05-28T20:40:57.627000+00:00,673,24,37.9,21.8,0.18,29.877,22.53
general,2,2020-10-04T13:43:00.879000+00:00,2020-10-05T12:53:33.115000+00:00,609,14,23.6,0.0,0.21,29.877,20.38
general,3,2026-06-25T02:19:28.572000+00:00,2026-06-26T00:17:29.892000+00:00,464,38,26.3,14.7,0.66,29.877,15.53
general,4,2025-12-10T18:15:08.153000+00:00,2025-12-11T17:57:29.900000+00:00,422,22,32.9,11.4,0.16,29.877,14.12
general,5,2021-03-11T14:12:14.227000+00:00,2021-03-12T14:00:50.030000+00:00,420,14,18.6,8.6,0.09,29.877,14.06
general-leftist-stuff,1,2023-03-18T21:03:58.336000+00:00,2023-03-19T21:03:48.737000+00:00,578,19,35.5,26.8,0.13,10.933,52.87
general-leftist-stuff,2,2023-03-02T21:33:33.492000+00:00,2023-03-03T21:28:25.002000+00:00,517,14,29.4,15.5,0.08,10.933,47.29
general-leftist-stuff,3,2023-03-21T02:09:26.079000+00:00,2023-03-22T02:03:07.054000+00:00,490,20,55.7,11.6,0.27,10.933,44.82
general-leftist-stuff,4,2023-02-25T01:36:49.264000+00:00,2023-02-26T01:32:29.009000+00:00,400,11,42.8,9.5,0.05,10.933,36.59
general-leftist-stuff,5,2025-06-17T21:48:57.635000+00:00,2025-06-18T20:39:56.276000+00:00,374,19,40.4,17.4,0.25,10.933,34.21
good-news,1,2026-04-09T00:52:51.933000+00:00,2026-04-09T23:33:27.313000+00:00,31,12,29.0,29.0,3.55,1.818,17.05
good-news,2,2026-03-19T16:48:09.208000+00:00,2026-03-20T15:38:44.558000+00:00,27,11,14.8,25.9,3.85,1.818,14.85
good-news,3,2026-03-22T16:13:25.821000+00:00,2026-03-23T12:52:11.974000+00:00,16,9,18.8,31.2,3.44,1.818,8.8
good-news,4,2026-04-15T01:16:31.621000+00:00,2026-04-15T17:30:12.526000+00:00,13,6,53.8,23.1,1.92,1.818,7.15
good-news,5,2026-06-13T16:00:12.434000+00:00,2026-06-14T13:10:15.831000+00:00,10,4,40.0,30.0,1.9,1.818,5.5
guide-of-blood,1,2021-02-13T20:00:19.813000+00:00,2021-02-14T15:32:44.880000+00:00,44,1,100.0,0.0,0.14,0.024,1852.77
head-pats,1,2024-02-16T03:39:15.784000+00:00,2024-02-17T02:11:27.733000+00:00,94,13,36.2,17.0,0.31,1.804,52.1
head-pats,2,2020-12-13T16:52:04.635000+00:00,2020-12-13T18:34:56.557000+00:00,78,4,64.1,1.3,0.03,1.804,43.23
head-pats,3,2023-02-07T04:48:11.349000+00:00,2023-02-08T03:59:38.407000+00:00,47,9,38.3,8.5,0.23,1.804,26.05
head-pats,4,2022-03-16T02:16:47.314000+00:00,2022-03-17T02:13:18.144000+00:00,38,12,23.7,15.8,0.58,1.804,21.06
head-pats,5,2021-08-30T17:18:14.868000+00:00,2021-08-31T12:32:06.684000+00:00,37,7,35.1,5.4,0.08,1.804,20.51
irl-fashionscape,1,2021-12-01T18:45:51.604000+00:00,2021-12-02T18:11:08.617000+00:00,108,12,35.2,21.3,0.29,1.235,87.45
irl-fashionscape,2,2022-01-27T08:27:51.614000+00:00,2022-01-28T08:04:59.119000+00:00,45,5,44.4,2.2,0.33,1.235,36.44
irl-fashionscape,3,2022-01-07T03:29:25.769000+00:00,2022-01-07T03:55:59.317000+00:00,43,3,48.8,0.0,0.02,1.235,34.82
irl-fashionscape,4,2021-10-15T10:40:19.505000+00:00,2021-10-16T08:37:43.460000+00:00,34,13,26.5,17.6,0.62,1.235,27.53
irl-fashionscape,5,2023-02-17T23:37:06.082000+00:00,2023-02-18T08:57:12.153000+00:00,34,12,29.4,23.5,1.41,1.235,27.53
join-portal,1,2026-03-03T18:55:43.285000+00:00,2026-03-04T18:15:42.149000+00:00,12,9,16.7,83.3,0.25,1.621,7.4
join-portal,2,2026-04-04T02:11:44.649000+00:00,2026-04-05T00:18:33.732000+00:00,12,8,16.7,83.3,0.42,1.621,7.4
join-portal,3,2026-04-15T19:23:10.585000+00:00,2026-04-16T19:10:05.805000+00:00,12,7,33.3,75.0,0.25,1.621,7.4
join-portal,4,2026-03-10T01:54:00.573000+00:00,2026-03-10T21:12:38.800000+00:00,11,8,18.2,72.7,0.64,1.621,6.79
join-portal,5,2026-04-07T17:05:45.203000+00:00,2026-04-08T14:57:17.514000+00:00,10,7,30.0,70.0,0.3,1.621,6.17
leftscape-library,1,2021-01-01T00:03:41.781000+00:00,2021-01-01T23:33:19.360000+00:00,229,10,41.5,10.5,0.17,0.672,340.94
leftscape-library,2,2021-02-22T15:33:05.440000+00:00,2021-02-23T00:28:56.966000+00:00,57,5,47.4,0.0,0.0,0.672,84.86
