parent_channel,week_start,message_count
advice,2026-06-01,34
advice,2026-06-08,14
advice,2026-06-22,10
advice,2026-06-29,37
advice,2026-07-06,39
advice,2026-07-13,1
announcements,2023-04-03,1
announcements,2023-04-10,2
announcements,2023-05-01,23
announcements,2023-05-08,1
announcements,2023-05-15,29
announcements,2023-05-22,15
announcements,2023-05-29,7
announcements,2023-06-19,2
announcements,2023-06-26,3
announcements,2023-07-03,11
announcements,2023-07-10,9
announcements,2023-07-17,4
announcements,2023-07-24,3
announcements,2023-07-31,2
announcements,2023-08-21,1
announcements,2023-09-11,8
announcements,2024-01-08,9
announcements,2024-03-25,2
announcements,2024-04-08,12
announcements,2024-04-15,2
announcements,2024-04-22,11
announcements,2024-05-27,2
announcements,2024-07-08,1
announcements,2024-07-29,3
announcements,2024-08-26,1
announcements,2024-09-30,1
announcements,2024-10-07,6
announcements,2024-10-28,2
announcements,2024-11-04,1
announcements,2024-12-02,1
announcements,2024-12-23,2
announcements,2025-03-03,12
announcements,2025-03-24,2
announcements,2025-06-02,1
announcements,2025-07-21,1
announcements,2025-10-20,3
announcements,2025-11-10,2
announcements,2025-11-17,1
announcements,2025-12-15,5
announcements,2025-12-29,6
announcements,2026-01-12,24
announcements,2026-04-06,1
announcements,2026-04-20,1
announcements,2026-07-06,10
barrows-sisters,2023-10-02,29
barrows-sisters,2023-10-09,5
barrows-sisters,2023-10-16,27
barrows-sisters,2023-10-23,11
barrows-sisters,2023-10-30,112
barrows-sisters,2023-11-06,52
barrows-sisters,2023-11-13,13
barrows-sisters,2023-11-20,4
barrows-sisters,2023-11-27,5
barrows-sisters,2023-12-04,5
barrows-sisters,2023-12-11,3
barrows-sisters,2023-12-18,33
barrows-sisters,2023-12-25,4
barrows-sisters,2024-01-08,1
barrows-sisters,2024-01-15,1
barrows-sisters,2024-02-05,8
barrows-sisters,2024-02-12,4
barrows-sisters,2024-02-19,13
barrows-sisters,2024-02-26,21
barrows-sisters,2024-03-04,5
barrows-sisters,2024-03-11,25
barrows-sisters,2024-03-18,8
barrows-sisters,2024-03-25,11
barrows-sisters,2024-04-01,4
barrows-sisters,2024-04-08,17
barrows-sisters,2024-04-15,43
barrows-sisters,2024-04-22,13
barrows-sisters,2024-04-29,81
barrows-sisters,2024-05-06,33
barrows-sisters,2024-05-13,35
barrows-sisters,2024-05-20,19
barrows-sisters,2024-05-27,64
barrows-sisters,2024-06-03,87
barrows-sisters,2024-06-10,182
barrows-sisters,2024-06-17,13
barrows-sisters,2024-06-24,4
barrows-sisters,2024-07-01,8
barrows-sisters,2024-07-22,6
barrows-sisters,2024-07-29,38
barrows-sisters,2024-08-05,5
barrows-sisters,2024-08-12,9
barrows-sisters,2024-08-19,5
barrows-sisters,2024-09-02,9
barrows-sisters,2024-09-09,7
barrows-sisters,2024-09-16,7
